variable,region,year,mean,sd,n,min,max
total_disbursement,Masindi District,2014,59012545.852361,45356496.23194847,6,152697.311731,88289772.8107
total_disbursement,Mayuge District,2013,30206325.774960626,16600993.851700917,16,1619171.39431,40934142.5344
total_disbursement,Mayuge District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Mbale District,2014,47274640.03067075,44066088.59119067,8,152697.311731,88289772.8107
total_disbursement,Mbarara District,2013,9929100.57745,0,3,9929100.57745,9929100.57745
total_disbursement,Mbarara District,2014,8292330.373105667,6527393.150407576,3,755145.988117,12060922.5656
total_disbursement,Mbarara District,2015,159617126.862,0,9,159617126.862,159617126.862
total_disbursement,Mbarara District,2017,2477441.52427,NA,1,2477441.52427,2477441.52427
total_disbursement,Mitoma District,2013,44593.4335436,NA,1,44593.4335436,44593.4335436
total_disbursement,Mityana District,2013,6605128.904194,4551535.664876256,5,1619171.39431,9929100.57745
total_disbursement,Mityana District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Moroto District,2013,963522.829151,422639.91848795686,8,568179.385912,1358866.27239
total_disbursement,Moroto District,2014,31023414.84978917,42378882.59860087,12,103291.384086,88289772.8107
total_disbursement,Moroto District,2015,562459.462084,0,4,562459.462084,562459.462084
total_disbursement,Moyo District,2014,47274640.03067075,44066088.59119067,8,152697.311731,88289772.8107
total_disbursement,Moyo District,2017,289119.789662,NA,1,289119.789662,289119.789662
total_disbursement,Mpigi District,2013,9929100.57745,0,3,9929100.57745,9929100.57745
total_disbursement,Mpigi District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Mpigi District,2017,2477441.52427,NA,1,2477441.52427,2477441.52427
total_disbursement,Mubende District,2013,6605128.904194,4551535.664876256,5,1619171.39431,9929100.57745
total_disbursement,Mukono District,2013,55671963.10083235,64029804.06962123,17,9929100.57745,167221812.555
total_disbursement,Mukono District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Mukono District,2015,590384.968126,0,3,590384.968126,590384.968126
total_disbursement,Nakapiripirit District,2013,963522.829151,422639.91848795686,8,568179.385912,1358866.27239
total_disbursement,Nakapiripirit District,2014,35686687.067817,45278030.147817634,10,103291.384086,88289772.8107
total_disbursement,Nakapiripirit District,2015,562459.462084,0,4,562459.462084,562459.462084
total_disbursement,Nakapiripirit District,2017,9131828.53913,0,2,9131828.53913,9131828.53913
total_disbursement,Nakaseke District,2013,167221812.555,0,4,167221812.555,167221812.555
total_disbursement,Nakaseke District,2016,4751625.28802,0,2,4751625.28802,4751625.28802
total_disbursement,Nakasongola District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Nakasongola District,2016,4751625.28802,0,2,4751625.28802,4751625.28802
total_disbursement,Namayingo District,2014,17078606.9877,0,2,17078606.9877,17078606.9877
total_disbursement,Namutumba District,2014,14569764.77665,2896961.451808027,4,12060922.5656,17078606.9877
total_disbursement,Napak District,2013,1358866.27239,0,4,1358866.27239,1358866.27239
total_disbursement,Napak District,2014,697898.891001,1065528.6417292308,4,103291.384086,2290459.68087
total_disbursement,Nebbi District,2013,385308.283607,0,5,385308.283607,385308.283607
total_disbursement,Nebbi District,2014,42276397.76958178,43862677.466904074,9,152697.311731,88289772.8107
total_disbursement,Ngora District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Ntungamo District,2013,9929100.57745,0,3,9929100.57745,9929100.57745
total_disbursement,Nwoya District,2013,939090.6137684999,785289.6434326516,4,259009.833227,1619171.39431
total_disbursement,Nwoya District,2014,1138440.098278,1463921.350683397,2,103291.384086,2173588.81247
total_disbursement,Nwoya District,2017,18005261.467668332,15455132.547969723,3,159211.593805,26928286.4046
total_disbursement,Otuke District,2014,103291.384086,0,2,103291.384086,103291.384086
total_disbursement,Oyam District,2013,1619171.39431,0,2,1619171.39431,1619171.39431
total_disbursement,Oyam District,2014,37840370.3013538,43656435.13606735,10,103291.384086,88289772.8107
total_disbursement,Oyam District,2017,16737877.780057918,10109111.78745454,12,411849.529265,26928286.4046
total_disbursement,Pader District,2014,35792229.01352291,41831521.19564833,11,103291.384086,88289772.8107
total_disbursement,Pader District,2015,610000.7717495,219631.21873388492,6,409505.817028,810495.726471
total_disbursement,Pader District,2016,236442.448065,NA,1,236442.448065,236442.448065
total_disbursement,Pader District,2017,19977819.6366705,7411686.697219122,10,159211.593805,26928286.4046
total_disbursement,Pallisa District,2014,47274640.03067075,44066088.59119067,8,152697.311731,88289772.8107
total_disbursement,Rakai District,2013,31417822.6862875,11812077.356692092,20,9929100.57745,40934142.5344
total_disbursement,Rakai District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Rakai District,2016,4751625.28802,0,2,4751625.28802,4751625.28802
total_disbursement,Rukungiri District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Sembabule District,2013,9929100.57745,0,3,9929100.57745,9929100.57745
total_disbursement,Sembabule District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Sembabule District,2016,4751625.28802,0,2,4751625.28802,4751625.28802
total_disbursement,Serere District,2014,12060922.5656,0,2,12060922.5656,12060922.5656
total_disbursement,Sheema District,2013,1619171.39431,0,2,1619171.39431,1619171.39431
total_disbursement,Sironko District,2014,59012545.852361,45356496.23194847,6,152697.311731,88289772.8107
total_disbursement,Soroti District,2013,1619171.39431,0,2,1619171.39431,1619171.39431
total_disbursement,Soroti District,2014,44107856.1389366,39431913.12568558,10,152697.311731,88289772.8107
total_disbursement,Soroti District,2015,678127.510081,0,3,678127.510081,678127.510081
total_disbursement,Tororo District,2014,44107856.1389366,39431913.12568558,10,152697.311731,88289772.8107
total_disbursement,Tororo District,2015,590384.968126,0,3,590384.968126,590384.968126
total_disbursement,Tororo District,2016,633339.571829,0,3,633339.571829,633339.571829
total_disbursement,Wakiso District,2013,9929100.57745,0,3,9929100.57745,9929100.57745
total_disbursement,Wakiso District,2017,2477441.52427,NA,1,2477441.52427,2477441.52427
total_disbursement,Yumbe District,2013,385308.283607,0,5,385308.283607,385308.283607
total_disbursement,Yumbe District,2014,59012545.852361,45356496.23194847,6,152697.311731,88289772.8107
total_disbursement,Yumbe District,2017,289119.789662,NA,1,289119.789662,289119.789662
total_disbursement,Zombo District,2014,2290459.68087,NA,1,2290459.68087,2290459.68087
transaction,All,2013,6534752.621878964,16337760.129038546,268,-3569.77952984,103331074.849
transaction,All,2014,9731334.002635954,9469773.52303412,455,103291.384086,26639031.4336
transaction,All,2015,4399664.170629999,7324813.356741579,120,1444.33168698,20564800.6635
transaction,All,2016,1385561.343921037,1063158.6223246215,27,198370.763883,2402125.21093
transaction,All,2017,4343054.971718253,5333709.954004767,113,42506.5014991,20459900
transaction,Abim District,2013,240880.70728775,196567.4503314373,8,134963.939777,658861.970778
transaction,Abim District,2014,1925463.1885799998,2836094.009223504,7,103291.384086,6649000
transaction,Adjumani District,2014,14867659.447011,11738290.642745435,6,152697.311731,26639031.4336
transaction,Agago District,2014,103291.384086,NA,1,103291.384086,103291.384086
transaction,Agago District,2015,270165.242157,23492.455506006085,3,253858.53633,297092.619
transaction,Agago District,2017,9029165.999455,10389787.367486304,3,159211.593805,20459900
transaction,Alebtong District,2013,11110910.43601605,26475092.459400002,6,11800.352,65141325.9573
transaction,Alebtong District,2014,103291.384086,0,2,103291.384086,103291.384086
transaction,Amolatar District,2014,10147346.2015798,10847704.398167016,10,103291.384086,26639031.4336
transaction,Amolatar District,2017,137283.17642166666,11936.933829778889,3,128996.210211,150965.267
transaction,Amudat District,2013,339716.5680975,252969.59375047853,4,136425.648,658861.970778
transaction,Amudat District,2014,697898.891001,1065528.6417292308,4,103291.384086,2290459.68087
transaction,Amuria District,2014,10897393.3007276,10170197.82165895,10,152697.311731,26639031.4336
transaction,Amuria District,2015,226042.50336033333,19656.51122365872,3,212398.516265,248573.082
transaction,Amuria District,2017,2974743.1012957143,825491.7842269844,7,2216850.31336,4345162.66661
transaction,Amuru District,2013,129504.91661365,65142.384790958255,2,83442.2945853,175567.538642
transaction,Amuru District,2014,10779589.091755778,11175558.232494606,9,103291.384086,26639031.4336
transaction,Amuru District,2015,274637.4695876667,23881.01953695397,3,258060.431754,302010.13
transaction,Amuru District,2017,5305720.9015144445,5842984.65974041,9,2216850.31336,20459900
transaction,Apac District,2014,9181786.309468333,9958429.080710614,15,103291.384086,26639031.4336
transaction,Apac District,2016,236442.448065,NA,1,236442.448065,236442.448065
transaction,Apac District,2017,4013611.47024125,5503946.741106764,12,128996.210211,20459900
transaction,Arua District,2014,15080834.65675825,10360559.30497755,8,152697.311731,26639031.4336
transaction,Arua District,2017,289119.789662,NA,1,289119.789662,289119.789662
transaction,Budaka District,2014,14867659.447011,11738290.642745435,6,152697.311731,26639031.4336
transaction,Bugiri District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Bugiri District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Buikwe District,2013,41805453.13866754,45055999.22586966,4,-3569.77952984,103331074.849
transaction,Buikwe District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Bukedea District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Bukedea District,2015,226042.50336033333,19656.51122365872,3,212398.516265,248573.082
transaction,Bukomansimbi District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Bukwa District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Bukwa District,2015,47516.25238595,744.2311643043995,2,46990.0014829,48042.503289
transaction,Bulisa District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Bulisa District,2017,65971.33995065,33184.29277707571,2,42506.5014991,89436.1784022
transaction,Bundibugyo District,2013,19174001.14532,7497316.738066061,4,9134555.37988,25968169.0902
transaction,Bundibugyo District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Bushenyi District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Busia District,2013,3849410.881102222,1736387.8607391738,9,1975259.39858,6343693.0992
transaction,Busia District,2014,14867659.447011,11738290.642745435,6,152697.311731,26639031.4336
transaction,Butaleja District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Butambala District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Dokolo District,2014,9711959.3209888,11064105.195187317,10,103291.384086,26639031.4336
transaction,Dokolo District,2016,1154066.3449825,1297716.1601783794,2,236442.448065,2071690.2419
transaction,Gomba District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Gulu District,2013,129504.91661365,65142.384790958255,2,83442.2945853,175567.538642
transaction,Gulu District,2014,11677911.12707291,10490237.303392736,11,103291.384086,26639031.4336
transaction,Gulu District,2015,272401.35587233334,21327.908228138625,6,253858.53633,302010.13
transaction,Gulu District,2016,236442.448065,NA,1,236442.448065,236442.448065
transaction,Gulu District,2017,5305720.9015144445,5842984.65974041,9,2216850.31336,20459900
transaction,Hoima District,2013,809585.697155,395151.498457042,2,530171.393,1089000.00131
transaction,Hoima District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Hoima District,2015,556472.204343,48387.88290213782,3,522883.714662,611934.876
transaction,Hoima District,2017,65971.33995065,33184.29277707571,2,42506.5014991,89436.1784022
transaction,Ibanda District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Ibanda District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Iganga District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Isingiro District,2013,1428051.274266963,1929415.4789127072,7,6786.93825094,4847389.702
transaction,Isingiro District,2014,2680985.2945984,3088885.1832292276,5,420959.928376,6649000
transaction,Jinja District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Jinja District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Jinja District,2015,196794.98937533333,17112.480653807477,3,184916.785259,216409.551
transaction,Kaabong District,2013,339716.5680975,252969.59375047853,4,136425.648,658861.970778
transaction,Kaabong District,2014,8855831.484077273,10873614.164464215,11,103291.384086,26639031.4336
transaction,Kabale District,2013,3849410.881102222,1736387.8607391738,9,1975259.39858,6343693.0992
transaction,Kabale District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Kabarole District,2013,19174001.14532,7497316.738066061,4,9134555.37988,25968169.0902
transaction,Kabarole District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Kaberamaido District,2014,11506370.99205511,10620712.502026645,9,152697.311731,26639031.4336
transaction,Kaberamaido District,2015,226042.50336033333,19656.51122365872,3,212398.516265,248573.082
transaction,Kalangala District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Kalungu District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Kampala District,2013,9229843.393290391,19915958.074252274,29,-3569.77952984,103331074.849
transaction,Kampala District,2014,4201448.614441333,4345345.602220679,9,420959.928376,11326672.5294
transaction,Kampala District,2015,505840.01810628426,279948.65949255397,14,1444.33168698,933255.167827
transaction,Kampala District,2017,2477441.52427,NA,1,2477441.52427,2477441.52427
transaction,Kamuli District,2015,196794.98937533333,17112.480653807477,3,184916.785259,216409.551
transaction,Kamwenge District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Kapchorwa District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Kapchorwa District,2015,47516.25238595,744.2311643043995,2,46990.0014829,48042.503289
transaction,Kasese District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Katakwi District,2014,11506370.99205511,10620712.502026645,9,152697.311731,26639031.4336
transaction,Katakwi District,2015,226042.50336033333,19656.51122365872,3,212398.516265,248573.082
transaction,Katakwi District,2017,2974743.1012957143,825491.7842269844,7,2216850.31336,4345162.66661
transaction,Kayunga District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Kibale District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Kiboga District,2014,2290459.68087,NA,1,2290459.68087,2290459.68087
transaction,Kiboga District,2016,2375812.64401,37211.58899911384,2,2349500.07709,2402125.21093
transaction,Kiruhura District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Kiruhura District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Kiruhura District,2015,6002178.96722,1877539.6702492514,2,4674557.93444,7329800
transaction,Kiryandongo District,2015,556472.204343,48387.88290213782,3,522883.714662,611934.876
transaction,Kiryandongo District,2016,2071690.2419,NA,1,2071690.2419,2071690.2419
transaction,Kisoro District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Kitgum District,2013,1403502.02544,NA,1,1403502.02544,1403502.02544
transaction,Kitgum District,2014,10779589.091755778,11175558.232494606,9,103291.384086,26639031.4336
transaction,Kitgum District,2015,272401.35587233334,21327.908228138625,6,253858.53633,302010.13
transaction,Kitgum District,2016,236442.448065,NA,1,236442.448065,236442.448065
transaction,Kitgum District,2017,5305720.9015144445,5842984.65974041,9,2216850.31336,20459900
transaction,Koboko District,2014,13270759.9819626,9906273.64185927,10,152697.311731,26639031.4336
transaction,Koboko District,2017,289119.789662,NA,1,289119.789662,289119.789662
transaction,Kole District,2014,832347.483014,1262762.2049112576,3,103291.384086,2290459.68087
transaction,Kole District,2016,2071690.2419,NA,1,2071690.2419,2071690.2419
transaction,Kole District,2017,13464143.20228,9893494.142399397,2,6468386.40456,20459900
transaction,Kotido District,2013,339716.5680975,252969.59375047853,4,136425.648,658861.970778
transaction,Kotido District,2014,8855831.484077273,10873614.164464215,11,103291.384086,26639031.4336
transaction,Kotido District,2017,4565914.269564999,1435112.6782608002,2,3551136.363,5580692.17613
transaction,Kumi District,2014,3244276.6092315,3266140.03489053,4,152697.311731,6649000
transaction,Kumi District,2015,226042.50336033333,19656.51122365872,3,212398.516265,248573.082
transaction,Kween District,2015,6002178.96722,1877539.6702492514,2,4674557.93444,7329800
transaction,Kyankwanzi District,2014,2290459.68087,NA,1,2290459.68087,2290459.68087
transaction,Kyegegwa District,2013,84759997.6598,NA,1,84759997.6598,84759997.6598
transaction,Kyegegwa District,2014,2290459.68087,NA,1,2290459.68087,2290459.68087
transaction,Kyenjojo District,2014,4783794.082143333,2246136.1205701563,3,2290459.68087,6649000
transaction,Lamwo District,2013,1403502.02544,NA,1,1403502.02544,1403502.02544
transaction,Lamwo District,2014,103291.384086,NA,1,103291.384086,103291.384086
transaction,Lamwo District,2015,270165.242157,23492.455506006085,3,253858.53633,297092.619
transaction,Lamwo District,2017,13464143.20228,9893494.142399397,2,6468386.40456,20459900
transaction,Lira District,2013,1403502.02544,NA,1,1403502.02544,1403502.02544
transaction,Lira District,2014,10713359.481824,10545392.317774013,12,103291.384086,26639031.4336
transaction,Lira District,2016,217445.5049735,19622.915826946675,4,198370.763883,236442.448065
transaction,Lira District,2017,2974743.1012957143,825491.7842269844,7,2216850.31336,4345162.66661
transaction,Luwero District,2013,24010702.71454877,35160581.18082823,8,-3569.77952984,103331074.849
transaction,Luwero District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Luwero District,2016,2375812.64401,37211.58899911384,2,2349500.07709,2402125.21093
transaction,Lwengo District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Lyantonde District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Lyantonde District,2015,17735236.317955554,1499660.4070604024,9,15881787.0681,20564800.6635
transaction,Manafwa District,2014,16725115.896043334,9052469.153827302,6,5411922.56556,26639031.4336
transaction,Maracha District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Maracha District,2017,289119.789662,NA,1,289119.789662,289119.789662
transaction,Masaka District,2013,3633088.7937014285,616576.0736809905,14,2224036.4689,4847389.702
transaction,Masaka District,2014,4272022.851225667,3107878.2629636503,3,755145.988117,6649000
transaction,Masaka District,2015,17735236.317955554,1499660.4070604024,9,15881787.0681,20564800.6635
transaction,Masaka District,2017,2477441.52427,NA,1,2477441.52427,2477441.52427
transaction,Masindi District,2014,14867659.447011,11738290.642745435,6,152697.311731,26639031.4336
transaction,Mayuge District,2013,3280150.906633125,1126930.948945315,16,530171.393,4847389.702
transaction,Mayuge District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Mbale District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Mbarara District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Mbarara District,2014,4272022.851225667,3107878.2629636503,3,755145.988117,6649000
transaction,Mbarara District,2015,17735236.317955554,1499660.4070604024,9,15881787.0681,20564800.6635
transaction,Mbarara District,2017,2477441.52427,NA,1,2477441.52427,2477441.52427
transaction,Mitoma District,2013,44593.4335436,NA,1,44593.4335436,44593.4335436
transaction,Mityana District,2013,2309654.394352,1688513.6773183793,5,530171.393,4847389.702
transaction,Mityana District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Moroto District,2013,240880.70728775,196567.4503314373,8,134963.939777,658861.970778
transaction,Moroto District,2014,8308717.167143334,10539393.41009886,12,103291.384086,26639031.4336
transaction,Moroto District,2015,140614.865521,10573.616520880847,4,133604.939452,156358.9
transaction,Moyo District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Moyo District,2017,289119.789662,NA,1,289119.789662,289119.789662
transaction,Mpigi District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Mpigi District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Mpigi District,2017,2477441.52427,NA,1,2477441.52427,2477441.52427
transaction,Mubende District,2013,2309654.394352,1688513.6773183793,5,530171.393,4847389.702
transaction,Mukono District,2013,13337077.626253538,25494531.506587345,17,-3569.77952984,103331074.849
transaction,Mukono District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Mukono District,2015,196794.98937533333,17112.480653807477,3,184916.785259,216409.551
transaction,Nakapiripirit District,2013,240880.70728775,196567.4503314373,8,134963.939777,658861.970778
transaction,Nakapiripirit District,2014,9199755.224607,11422300.13828718,10,103291.384086,26639031.4336
transaction,Nakapiripirit District,2015,140614.865521,10573.616520880847,4,133604.939452,156358.9
transaction,Nakapiripirit District,2017,4565914.269564999,1435112.6782608002,2,3551136.363,5580692.17613
transaction,Nakaseke District,2013,41805453.13866754,45055999.22586966,4,-3569.77952984,103331074.849
transaction,Nakaseke District,2016,2375812.64401,37211.58899911384,2,2349500.07709,2402125.21093
transaction,Nakasongola District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Nakasongola District,2016,2375812.64401,37211.58899911384,2,2349500.07709,2402125.21093
transaction,Namayingo District,2014,8539303.493865,3786834.7148951683,2,5861606.98773,11217000
transaction,Namutumba District,2014,7284882.3883225005,2670804.2913111006,4,5411922.56556,11217000
transaction,Napak District,2013,339716.5680975,252969.59375047853,4,136425.648,658861.970778
transaction,Napak District,2014,697898.891001,1065528.6417292308,4,103291.384086,2290459.68087
transaction,Nebbi District,2013,77061.65672136,6226.3988600993225,5,71590.5032659,83919.1144014
transaction,Nebbi District,2014,11506370.99205511,10620712.502026645,9,152697.311731,26639031.4336
transaction,Ngora District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Ntungamo District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Nwoya District,2013,469545.306884325,455667.31471210835,4,83442.2945853,1089000.00131
transaction,Nwoya District,2014,1138440.098278,1463921.350683397,2,103291.384086,2173588.81247
transaction,Nwoya District,2017,9029165.999455,10389787.367486304,3,159211.593805,20459900
transaction,Otuke District,2014,103291.384086,0,2,103291.384086,103291.384086
transaction,Oyam District,2013,809585.697155,395151.498457042,2,530171.393,1089000.00131
transaction,Oyam District,2014,10147346.2015798,10847704.398167016,10,103291.384086,26639031.4336
transaction,Oyam District,2017,4013611.47024125,5503946.741106764,12,128996.210211,20459900
transaction,Pader District,2014,9916111.308305636,10182420.595991733,11,103291.384086,26639031.4336
transaction,Pader District,2015,203333.59058316666,75079.13935571084,6,128262.918268,297092.619
transaction,Pader District,2016,236442.448065,NA,1,236442.448065,236442.448065
transaction,Pader District,2017,4791069.9707435,5744191.850330209,10,159211.593805,20459900
transaction,Pallisa District,2014,12658359.905953249,10736098.143633118,8,152697.311731,26639031.4336
transaction,Rakai District,2013,3778942.0232145,1147009.210035289,20,1975259.39858,6343693.0992
transaction,Rakai District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Rakai District,2016,2375812.64401,37211.58899911384,2,2349500.07709,2402125.21093
transaction,Rukungiri District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Sembabule District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Sembabule District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Sembabule District,2016,2375812.64401,37211.58899911384,2,2349500.07709,2402125.21093
transaction,Serere District,2014,6030461.28278,874745.8427453806,2,5411922.56556,6649000
transaction,Sheema District,2013,809585.697155,395151.498457042,2,530171.393,1089000.00131
transaction,Sironko District,2014,14867659.447011,11738290.642745435,6,152697.311731,26639031.4336
transaction,Soroti District,2013,809585.697155,395151.498457042,2,530171.393,1089000.00131
transaction,Soroti District,2014,13270759.9819626,9906273.64185927,10,152697.311731,26639031.4336
transaction,Soroti District,2015,226042.50336033333,19656.51122365872,3,212398.516265,248573.082
transaction,Tororo District,2014,13270759.9819626,9906273.64185927,10,152697.311731,26639031.4336
transaction,Tororo District,2015,196794.98937533333,17112.480653807477,3,184916.785259,216409.551
transaction,Tororo District,2016,211113.19060966666,18357.53270765687,3,198370.763883,232154.848
transaction,Wakiso District,2013,3309700.1924833334,1368846.605637586,3,2224036.4689,4847389.702
transaction,Wakiso District,2017,2477441.52427,NA,1,2477441.52427,2477441.52427
transaction,Yumbe District,2013,77061.65672136,6226.3988600993225,5,71590.5032659,83919.1144014
transaction,Yumbe District,2014,14867659.447011,11738290.642745435,6,152697.311731,26639031.4336
transaction,Yumbe District,2017,289119.789662,NA,1,289119.789662,289119.789662
transaction,Zombo District,2014,2290459.68087,NA,1,2290459.68087,2290459.68087
